gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
A1BG	1	NM_130786.4	true	true	45	4.3048e+01	193	1.0454e+00	7.0633e-07	1.6256e-16	8.4915e-01	1.5085e-01	45	4.3048e+01	193	1.0454e+00	7.0633e-07	1.7706e-16	8.4295e-01	1.5705e-01	8.2200e-01	1.3400e+00	NA	NA	-2.9756e-01	-2.5212e-01	707	6.4703e+02	2870	1.0927e+00	7.6657e-06	1.0260e+00	1.1630e+00	-2.3574e+00	-8.6092e-01	220	1.9060e+02	890	1.1543e+00	316	2.9594e+02	994	1.0678e+00	3.0216e-06	9.7300e-01	1.1720e+00	-1.1660e+00	-6.3549e-01	[]	NA	NA	NA	NA	NA
A1BG	ENSG00000121410	ENST00000263100	true	true	45	4.3048e+01	193	1.0454e+00	7.0633e-07	1.6256e-16	8.4915e-01	1.5085e-01	45	4.3048e+01	193	1.0454e+00	7.0633e-07	1.7706e-16	8.4295e-01	1.5705e-01	8.2200e-01	1.3400e+00	14057	7	-2.9756e-01	-2.5212e-01	707	6.4703e+02	2870	1.0927e+00	7.6657e-06	1.0260e+00	1.1630e+00	-2.3574e+00	-8.6092e-01	220	1.9060e+02	890	1.1543e+00	316	2.9594e+02	994	1.0678e+00	3.0216e-06	9.7300e-01	1.1720e+00	-1.1660e+00	-6.3549e-01	[]	2	protein_coding	chr19	1485	8
A1BG	ENSG00000121410	ENST00000600966	false	false	24	2.6268e+01	123	9.1365e-01	4.1979e-07	2.5306e-08	3.4303e-01	6.5697e-01	22	2.5006e+01	119	8.7979e-01	3.9582e-07	1.8365e-07	2.6452e-01	7.3548e-01	6.2800e-01	1.2560e+00	NA	NA	6.0114e-01	5.0934e-01	399	4.0552e+02	1858	9.8393e-01	4.9120e-06	9.0600e-01	1.0690e+00	3.2367e-01	1.1820e-01	103	1.0958e+02	512	9.3995e-01	166	1.7890e+02	637	9.2791e-01	1.9057e-06	8.1700e-01	1.0550e+00	9.6425e-01	5.2556e-01	[]	1	protein_coding	chr19	917	5
A1CF	29974	NM_001198818.2	false	false	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.3172e-10	2.0560e-03	9.9794e-01	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.6560e-10	1.9606e-03	9.9804e-01	5.0600e-01	8.2500e-01	NA	NA	2.9844e+00	2.5286e+00	653	7.4551e+02	3720	8.7591e-01	4.3783e-06	8.2100e-01	9.3400e-01	3.3881e+00	1.2373e+00	236	2.7671e+02	1399	8.5287e-01	272	2.7254e+02	1157	9.9802e-01	2.0076e-06	9.0300e-01	1.1030e+00	3.2727e-02	1.7838e-02	[]	NA	NA	NA	NA	NA
A1CF	29974	NM_001198819.2	false	false	48	7.2811e+01	367	6.5924e-01	1.0176e-06	7.6383e-11	2.5273e-03	9.9747e-01	47	7.0281e+01	355	6.6874e-01	9.7219e-07	7.7044e-11	3.5757e-03	9.9642e-01	5.2800e-01	8.5300e-01	NA	NA	2.7771e+00	2.3530e+00	670	7.6177e+02	3837	8.7953e-01	4.4314e-06	8.2500e-01	9.3800e-01	3.3250e+00	1.2143e+00	309	3.6475e+02	1841	8.4715e-01	271	2.7598e+02	1188	9.8194e-01	1.9095e-06	8.8800e-01	1.0860e+00	3.0003e-01	1.6353e-01	[]	NA	NA	NA	NA	NA
A1CF	29974	NM_001198820.2	false	false	50	7.2413e+01	364	6.9049e-01	1.0057e-06	5.3650e-12	5.6829e-03	9.9432e-01	49	6.9883e+01	352	7.0118e-01	9.6035e-07	5.4044e-12	8.0296e-03	9.9197e-01	5.5700e-01	8.9000e-01	NA	NA	2.4981e+00	2.1166e+00	661	7.5077e+02	3782	8.8043e-01	4.5427e-06	8.2500e-01	9.3900e-01	3.2763e+00	1.1965e+00	148	1.6842e+02	867	8.7876e-01	266	2.7247e+02	1172	9.7624e-01	1.9095e-06	8.8200e-01	1.0810e+00	3.9217e-01	2.1375e-01	[]	NA	NA	NA	NA	NA
A1CF	29974	NM_001370130.1	false	false	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.3172e-10	2.0560e-03	9.9794e-01	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.6560e-10	1.9606e-03	9.9804e-01	5.0600e-01	8.2500e-01	NA	NA	2.9844e+00	2.5286e+00	653	7.4551e+02	3720	8.7591e-01	4.3783e-06	8.2100e-01	9.3400e-01	3.3881e+00	1.2373e+00	236	2.7671e+02	1399	8.5287e-01	272	2.7254e+02	1157	9.9802e-01	2.0076e-06	9.0300e-01	1.1030e+00	3.2727e-02	1.7838e-02	[]	NA	NA	NA	NA	NA
A1CF	29974	NM_001370131.1	false	false	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0397e-08	9.1250e-04	9.9909e-01	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0877e-08	8.7011e-04	9.9913e-01	4.7800e-01	7.8800e-01	NA	NA	3.2619e+00	2.7637e+00	662	7.5651e+02	3775	8.7507e-01	4.9017e-06	8.2000e-01	9.3300e-01	3.4360e+00	1.2548e+00	125	1.5351e+02	799	8.1427e-01	277	2.7605e+02	1173	1.0034e+00	2.0076e-06	9.0900e-01	1.1080e+00	-5.7106e-02	-3.1125e-02	[]	NA	NA	NA	NA	NA
A1CF	29974	NM_014576.4	true	true	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.3172e-10	2.0560e-03	9.9794e-01	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.6560e-10	1.9606e-03	9.9804e-01	5.0600e-01	8.2500e-01	NA	NA	2.9844e+00	2.5286e+00	653	7.4551e+02	3720	8.7591e-01	4.3783e-06	8.2100e-01	9.3400e-01	3.3881e+00	1.2373e+00	236	2.7671e+02	1399	8.5287e-01	272	2.7254e+02	1157	9.9802e-01	2.0076e-06	9.0300e-01	1.1030e+00	3.2727e-02	1.7838e-02	[]	NA	NA	NA	NA	NA
A1CF	29974	NM_138932.3	false	false	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0397e-08	9.1250e-04	9.9909e-01	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0877e-08	8.7011e-04	9.9913e-01	4.7800e-01	7.8800e-01	NA	NA	3.2619e+00	2.7637e+00	662	7.5651e+02	3775	8.7507e-01	4.9017e-06	8.2000e-01	9.3300e-01	3.4360e+00	1.2548e+00	125	1.5351e+02	799	8.1427e-01	277	2.7605e+02	1173	1.0034e+00	2.0076e-06	9.0900e-01	1.1080e+00	-5.7106e-02	-3.1125e-02	[]	NA	NA	NA	NA	NA
